content,score,cleaned,label
"gila tokped narik dana ke rekening hampir berhari""dari tanggal 27 gak ada kepastian gak juga masukk gimana tanggung jawabnya ini hampir 12 juta dana saya gak ada kepastian.KAPOKKKKKKKKKK",1,gila tokped narik dana rekening berhari tanggal gak kepastian gak masukk gimana tanggung juta dana gak kepastian kapokkkkkkkkkk,negatif
gabisa di buka apk nya,1,gabisa buka apk nya,negatif
"sekarang harga barang mahal ,ongkir mahal , mending Oren harga barang lebih murah ,gratis ongkir, tokped paylater bunga gila",1,harga barang mahal ongkir mahal mending oren harga barang murah gratis ongkir tokped paylater bunga gila,negatif
Mohon perbaikan saat beli pulsa terus pake voucher diskon aplikasi tidak bisa memproses.. terimakasih,5,mohon perbaikan beli pulsa pake voucher diskon aplikasi memproses terimakasih,positif
awesome !!,5,awesome,positif
"sering tiba tiba Hank ..hitam , Mau buka ulasan diarahkaan ke update ,tapi update tidak ada , kenapa tidak bisa buka ulasan ? Sistem transaksi 👍 ,tapi aplikasi ' sangat tidak bagus' ,sebelum update ,sangat lelet setelah update ,tidak bisa buka ulasan , cari programer yang benar kenapa ?, tetap tidak bisa buka semua ulasan .. 16-8-2025 Sekarang klau lagi,slide slide lama suka Hank ...., gelap dan sangat lama,kalau ditutup ,buka dari awal lagi ,toko yang lagi dilihat lupa ..hilang .",2,hank hitam buka ulasan diarahkaan update update buka ulasan sistem transaksi aplikasi bagus update lelet update buka ulasan cari programer buka ulasan klau slide slide suka hank gelap ditutup buka toko lupa hilang,negatif
Kenapa ongkir di halaman produk dan di halaman check out beda ya,5,ongkir halaman produk halaman check out beda ya,positif
"parah, pindah aja ke toko oren shope",1,parah pindah aja toko oren shope,negatif
Nipu harganya berubah seenak developernya,1,nipu harganya berubah seenak developernya,negatif
bagus,5,bagus,positif
"Jelek, harga berubah ketika mau pesan barang",1,jelek harga berubah pesan barang,negatif
ribet,1,ribet,negatif
"gw beli barang dari official store sdh sebulan lebih barang kgk nyampai. Sdh ajukan komplen ditolak sm pihak tokped dgn alasan barang sdh diterima akan dikirim bukti pelacakan,pdahal di aplikasi barang masih nyangkut. Sdh sebulan lebih phk tokped tdk bs ngasih bukti barang sdh diterima sperti janji mereka. Lemah perlindungan pada konsumen, mau ngelindungi maling bos ? aplikasi tolol",1,gw beli barang official store sdh sebulan barang kgk nyampai sdh ajukan komplen ditolak sm tokped dgn alasan barang sdh diterima dikirim bukti pelacakan pdahal aplikasi barang nyangkut sdh sebulan phk tokped tdk bs ngasih bukti barang sdh diterima sperti janji lemah perlindungan konsumen ngelindungi maling bos aplikasi tolol,negatif
produk nya aslinya suka banget dengan Tokopedia,5,produk nya aslinya suka banget tokopedia,positif
oke terbaik,5,oke terbaik,positif
layanan multi kurir yg kacau lama banget sampe barang banyak di pindah tangan,1,layanan multi kurir yg kacau banget sampe barang pindah tangan,negatif
Sering minta update terus.... Sedangkan Performa biasa saja.,1,update performa,negatif
"Semenjak dijual,bukannya nambah bagus malah makin bobrok Csnya makin parah Goodbye tokped",1,semenjak dijual nambah bagus bobrok csnya parah goodbye tokped,negatif
top,5,top,positif
saya di tipu di tokopedia,1,tipu tokopedia,negatif
bagussss bangett,5,bagussss bangett,positif
terimah kasih,3,terimah kasih,netral
saya puas #tuanmudasitinjak_gerry,1,puas tuanmudasitinjak gerry,negatif
"halah rusak, saya dapat spin dan dapat hadiah kupon 2,4jt dengan syarat belanja 2 produk, pas saya baca syarat dan ketentuannya tidak ada detail minimal pembelian, ya saya gas lah beli 2 produk, habis beli langsung ada tulisan selamat anda dapat kupon 2,4 juta, pas di klik langsung ilang entah kemana???!!",1,halah rusak spin hadiah kupon jt syarat belanja produk pas baca syarat ketentuannya detail minimal pembelian ya gas beli produk habis beli langsung tulisan selamat kupon juta pas klik langsung ilang kemana,negatif
"mau narik saldo dipersulit, sudah menghubungi Tokopedia care masih belum juga dibalas, ga recomended kalau mau narik saldo refund, pokoknya hati hati kalau mau order, belum tentu barangnya ada dan bahkan dipersulit banget untuk narik saldonya, mungkin 400 ribuan buat anda kecil tapi buat saya itu buat makan 2 mingguan",1,narik saldo dipersulit menghubungi tokopedia care dibalas ga recomended narik saldo refund pokoknya hati hati order barangnya dipersulit banget narik saldonya ribuan makan mingguan,negatif
mantab,5,mantab,positif
"semoga Tuhan memberkati, keselamatan dan kebahagiaan ummat manusia di bumi ini. Amin.",5,semoga tuhan memberkati keselamatan kebahagiaan ummat manusia bumi amin,positif
Tokopedia tolong dong kaya dulu lagi bisa lihat kapan terakhir toko aktif biar jadi patokan kalo belanja. Soalnya saya sering banget belanja tapi tau tau toko nya udah tutup akhirnya saya nunggu lagi padahal barangnya sedang saya butuhin. Terimakasih,5,tokopedia tolong kaya lihat toko aktif biar patokan kalo belanja banget belanja tau tau toko nya udah tutup nunggu barangnya butuhin terimakasih,positif
anehh...pas di dlm keranjang barang diskon 50% dari harga aslinya..karna ada kupon..pas di bayar eh malah muncul seperti jaringan tidak stabil..dan pas di ulangin lagi malah muncul saya sudah mencoba 3x kupon..dan harganya normal lagi..aneh👎👎👎👎,1,anehh pas dlm keranjang barang diskon harga aslinya karna kupon pas bayar eh muncul jaringan stabil pas ulangin muncul mencoba x kupon harganya normal aneh,negatif
"apk nya lambat, ga worth it bgt, saran ku jgn di coba",1,apk nya lambat ga worth it bgt saran ku jgn coba,negatif
"Sistemnya ANCUR. Order pakai instan maks 3 Jam, sudah 5 jam penjual tidak kirim bahkan tidak respon chat, ajukan pembatalan malah diminta tunggu persetujuan penjual, kan aneh. Ini rampok namanya. Kecuali pembatalan dgn alasan yang ga jelas ya wajar. Ini jelas order pakai Instant, yang notabene nya butuh cepat, urgent. Malah diminta tunggu 2 hari kerja. Halooo?? itu saya bayar ongkir instan mahal2 buat apa kalau mesti tunggu 2 hari kerja baru bisa balik uang nya?? Pilih Marketplace lain saja.",1,sistemnya ancur order pakai instan maks jam jam penjual kirim respon chat ajukan pembatalan tunggu persetujuan penjual aneh rampok namanya kecuali pembatalan dgn alasan ga ya wajar order pakai instant notabene nya butuh cepat urgent tunggu kerja halooo bayar ongkir instan mahal mesti tunggu kerja uang nya pilih marketplace,negatif
aplikasi yang masih ada modus penipuan,2,aplikasi modus penipuan,negatif
"Beli barang lewat tokopedia ,barang tidak sesuai yang datang, ajukan komplain disuruh tunggu kurir ada yg datang buat ambil barang selama 3 hari. ditunggu tidak datang datang tiba tiba KOMPALAIN ditutup sendiri. DARI AWAL DISURUH TUNGGU KURIR BILANGNYA, KURIR TIDAK DATANG KOMPLAIN DITUTUP . SEKARANG DARI TOKOPEDIA CARE SUDAH TIDAK BISA LG DIURUS. BINATANG , PENIPU",1,beli barang tokopedia barang sesuai ajukan komplain disuruh tunggu kurir yg ambil barang ditunggu kompalain ditutup disuruh tunggu kurir bilangnya kurir komplain ditutup tokopedia care lg diurus binatang penipu,negatif
Jelek,1,jelek,negatif
"customer service tidak responsif atau lama dalam memberikan tanggapan, dan sering menutup kasus dari orang lain jika memang sedikit lama bagi pelanggan membalas pesan sedangkan dari pihak customer service lebih lama lagi.",1,customer service responsif tanggapan menutup orang pelanggan membalas pesan customer service,negatif
yah gitu deh,4,yah gitu deh,positif
cuma gabut aku,1,gabut,negatif
untuk expedisi tolong pake JNT aja yg cepat kalau pakai expedisi yg lain kebanyakan lemot,5,expedisi tolong pake jnt aja yg cepat pakai expedisi yg kebanyakan lemot,positif
kdg lemot,4,kdg lemot,positif
"sekarang ga ngasih diskon buat belanja kah ?, jgn hanya buat pembayaran aja diskonnya, dulu kalo ga belanja 1 / 2 / 3 bulan dapat diskon 10rb atau berapa gitu... tapi sekarang udah berubah... diambil tiktok makanya berubah.........😮‍💨😮‍💨😮‍💨 beli lagi sahamnya biar China ga berkuasa, setelah tokped merger Ama TikTok diskon dibatasi bahkan ga dapat...💔",2,ga ngasih diskon belanja kah jgn pembayaran aja diskonnya kalo ga belanja diskon rb gitu udah berubah diambil tiktok berubah beli sahamnya biar china ga berkuasa tokped merger ama tiktok diskon dibatasi ga,negatif
"aplikasinya termasuk ringan, barang barangnya yang dijual di aplikasi masih belum terlalu banyak, gratis ongkir belum 100%",4,aplikasinya ringan barang barangnya dijual aplikasi gratis ongkir,positif
"kami mau bayar tagihan gopay later, kenapa tidak bisa melalui aplikasi tokopedia, gagal terus, hari ini jatuh tempo semisal nanti terlambat kan didenda, apakah tokopedia sengaja agar bisa kutip dendanya... tks",2,bayar tagihan gopay later aplikasi tokopedia gagal jatuh tempo terlambat didenda tokopedia sengaja kutip dendanya tks,negatif
"itu ada spin dapat 2,4juta di suru beli produk yang sebenarnya ga perlu. setelah check out ternyata vouchernya tidak ada. ini seperti apa? saya merasa tertipu. padahal saya customer aktiv",1,spin juta suru beli produk ga check out vouchernya tertipu customer aktiv,negatif
ok,5,ok,positif
menu pencarian tidak akurat,3,menu pencarian akurat,netral
simpel mudah belanja di tokped,5,simpel mudah belanja tokped,positif
respon cepat,4,respon cepat,positif
"pengalaman terpuruk bersama TOKOPEDIA, Beli barang mesin las dan grinda potong, sdh bayar di tranfer tapi belum menerima barangnya ( SAMPAI SAAT INI ), entah di kirim kerumah siapa / kesasar, setatus SELESAI 😇",1,pengalaman terpuruk tokopedia beli barang mesin las grinda potong sdh bayar tranfer menerima barangnya kirim kerumah kesasar setatus selesai,negatif
"Yang terhormat Pihak Tokopedia,saya ingin menyampaikan komplain. Mengapa semua pembayaran di Tokopedia walaupun COD pastinya ada S&K tolonglah jangan menggunakan S&K saya sebagai pemakai aplikasi merasa kurang nyaman",5,terhormat tokopedia komplain pembayaran tokopedia cod pastinya s k tolonglah s k pemakai aplikasi nyaman,positif
mantep 👍,5,mantep,positif
kenapa sekarang paylater ga bisa di pakai padahal saya tiap bulan bayar tepat waktu,3,paylater ga pakai bayar,netral
"sangat kecewa, toko pedia terlalu memanjakan penjual, sy di tipu pesan barang di kirim sampah sudah cat ke penjual tdk pernah di balas,komplain ke tokped sudah, ribet banyak aturan lama,mending di toko orange ,sangat melindungi konsumen",1,kecewa toko pedia memanjakan penjual sy tipu pesan barang kirim sampah cat penjual tdk balas komplain tokped ribet aturan mending toko orange melindungi konsumen,negatif
semoga tetap kuat dan lebih baik lagi kedepannya.,5,semoga kuat kedepannya,positif
lebih real ongkir nya tapi sayang masih ada seller yang ngasih harga di atas standar resminya,5,real ongkir nya sayang seller ngasih harga standar resminya,positif
cukup membantu dan mempermudah untuk belanja.,4,membantu mempermudah belanja,positif
"aplikasi ga bagus, gue beli token listrik udah bayar pake virtual account lama di proses nya",1,aplikasi ga bagus gue beli token listrik udah bayar pake virtual account proses nya,negatif
bagus,4,bagus,positif
ok goooddd,5,ok goooddd,positif
"beli pulsa kok lamaa, maksudnya apa. ini keburu abis kuota saya😭😭",2,beli pulsa lamaa maksudnya keburu abis kuota,negatif
mantap,5,mantap,positif
notif 🏴‍☠️,1,notif,negatif
terbaik,5,terbaik,positif
mantab,5,mantab,positif
barang barangnya lengkap dan murah,4,barang barangnya lengkap murah,positif
semoga semakin banyak promo,5,semoga promo,positif
perbanyak promo diskon,5,perbanyak promo diskon,positif
uang ketahan 2 juta udah 4 hari,1,uang ketahan juta udah,negatif
mempermudah pencarian yg kita ingin kan,5,mempermudah pencarian yg,positif
bagus sekali,5,bagus,positif
"Kalo Top Up saldo Flazz ga pernah masuk, dipikir cuman ganguan tapi engga juga. di ulang coba Tup Up gitu lagi sudah beberapa kali. tidak ada tanggapan juga dari TokopediaCare.",1,kalo top up saldo flazz ga masuk dipikir cuman ganguan engga ulang coba tup up gitu kali tanggapan tokopediacare,negatif
ok,5,ok,positif
ok,5,ok,positif
"pelayanannya sangat baik,ini pertama saya beli d toko ini",5,pelayanannya beli d toko,positif
"beli barang dapet potong vocher bener2 ga dikirim. di chat sama sekali ga bales. mencoba positif beli barang lagi lahhh barang yang nyampe beda, proses komplain ga nguntungin pembeli, harus nunggu respon penjual, sedangkan penjual di chat dari awal aja ga bales. komplain harus tunggu 3 hari. setelah acc komplain mau retur barang ternyata ongkir di tanggung pembeli. dahlah langsung uninstall paling bener pake si oren.",3,beli barang dapet potong vocher bener ga dikirim chat ga bales mencoba positif beli barang lahhh barang nyampe beda proses komplain ga nguntungin pembeli nunggu respon penjual penjual chat aja ga bales komplain tunggu acc komplain retur barang ongkir tanggung pembeli dahlah langsung uninstall bener pake si oren,netral
"semoga bisa alternatif berbelanja yg terpercaya, mohon gunakan Ekspedisi pos karena selain murah juga dapat tepat waktu TDK seperti sicepat tdk tepat waktu dan lambat sekali dan bahkan dibatalkan 😝",5,semoga alternatif berbelanja yg terpercaya mohon ekspedisi pos murah tdk sicepat tdk lambat dibatalkan,positif
kmhln anj ga ngotk emg,1,kmhln anj ga ngotk emg,negatif
kenapa gak bisa daftar tokped afilliate,1,gak daftar tokped afilliate,negatif
"jelek banget sekarang pelayanan komplain & customer service di aplikasinya. mau retur barang aja ribet banget masa harus kirim barang dengan resi manual, bukan lewat aplikasi. udh diinput resi nya malah gak valid. udh input ulang tetep gak valid. nanya cs malah jawabnya kaya bot. hadeh, kalah jauh dibanding si ungu & si oren pelayanan komplain & cs nya sekarang.",1,jelek banget pelayanan komplain customer service aplikasinya retur barang aja ribet banget kirim barang resi manual aplikasi udh diinput resi nya gak valid udh input ulang tetep gak valid nanya cs kaya bot hadeh kalah dibanding si ungu si oren pelayanan komplain cs nya,negatif
"parah banyak toko yang nipu, bilang barang ada setelah dibayar kirim pesan lewat wa suruh rubah ekspedisi dikirim link. laporan ke cs malah akun Tokopedia gw kena periksa, duit cancelan dari pesanan bermasalah malah gak bisa diambil. customer servicenya GK ada respon",1,parah toko nipu bilang barang dibayar kirim pesan wa suruh rubah ekspedisi dikirim link laporan cs akun tokopedia gw kena periksa duit cancelan pesanan bermasalah gak diambil customer servicenya gk respon,negatif
"saran aja kk, untuk mengubah nomor hp di apk/gopay nya jngan dipersulit. say mau ganti no hp di apk tokped karena nomor sudah hilang tapi dikirim kode otp via wa ke nomor yang udah hilang tsb. ribet",3,saran aja kk mengubah nomor hp apk gopay nya jngan dipersulit say ganti no hp apk tokped nomor hilang dikirim kode otp via wa nomor udah hilang tsb ribet,netral
pengiriman lamaaaaaaaaaa bnget apk jelekk,1,pengiriman lamaaaaaaaaaa bnget apk jelekk,negatif
"ada toko ga jelas, pesanan barang 1 item dengan qty. 2, barang dikirim namun pas dibuka isi paket kosong hanya tulisan untuk hubungi nomor WA penjual, setelah di WA penjual slow respon dan berjanji akan mengirim barang tsb, namun pas cek resi nya via Shopee pertanggal 23 sampai sekarang belum dikirim kirim, lalu invoice juga aneh total belanja 264.510 itu gimana solusi nya dari Tokopedia, merasa dirugikan, bahkan sampai saat ini dana belum juga masuk kesaya",1,toko ga pesanan barang item qty barang dikirim pas dibuka isi paket kosong tulisan hubungi nomor wa penjual wa penjual slow respon berjanji mengirim barang tsb pas cek resi nya via shopee pertanggal dikirim kirim invoice aneh total belanja gimana solusi nya tokopedia dirugikan dana masuk kesaya,negatif
👍👍,5,,positif
"apk bodoh, saya konsumen lama belanja sudah hampir 100jt, ada keluhan saya sebagai konsumen yg dibrugikan, tidak menerima keluhan sampai akun saya di blokir segala😡",1,apk bodoh konsumen belanja jt keluhan konsumen yg dibrugikan menerima keluhan akun blokir,negatif
"sekarang toko pedia eror, entah sistem nya atau apanya, sudah bayar pesanan melalui briva dan sudah terverifikasi, dibatalkan sepihak tanpa alasan yang jelas",1,toko pedia eror sistem nya apanya bayar pesanan briva terverifikasi dibatalkan alasan,negatif
diaplikasi laingk bisa,5,diaplikasi laingk,positif
bagus,5,bagus,positif
"tolong dong ka tambahin fitur ganti akun, masa setiap mau ganti akun harus keluar akun dulu, ribet, harusnya seperti Oren bisa ganti akun, tolong kak itu akan sangat berguna buat saya🙏 nanti saya kasi bintang 5 kalau ada fitur ganti akun",4,tolong ka tambahin fitur ganti akun ganti akun akun ribet oren ganti akun tolong kak berguna kasi bintang fitur ganti akun,positif
"Tau2 diemail, toko di tutup! Dah gitu aja tanpa ada informasi apa-apa",1,tau diemail toko tutup dah gitu aja informasi,negatif
ok,4,ok,positif
saya sudH daftar tapi tidak bisa masuk akum jadi bingung saya dgn aplikasi ini,1,sudh daftar masuk akum bingung dgn aplikasi,negatif
Akhir-akhir ini ongkir di Tokopedia melambung tinggi. Ada baiknya kita pamit!,3,ongkir tokopedia melambung baiknya pamit,netral
jangan lupa modus gela,5,lupa modus gela,positif
"Udah hampir bagus sih, tapi ada masalah dari ekspedisi Yaitu masih bekerjasama dengan sicepat, yang pengiriman nya tidak secepat ekspedisi lainnya.. Dan jika menggunakan metode cod menggunakan 3 ekspedisi, yakni JNT, d alihkan ke LILO, terus di alihkan lagi ke SICEPAT",2,udah bagus sih ekspedisi bekerjasama sicepat pengiriman nya secepat ekspedisi metode cod ekspedisi jnt d alihkan lilo alihkan sicepat,negatif
mantap,5,mantap,positif
e-commerce lelet,1,e commerce lelet,negatif
terpercaya,5,terpercaya,positif
