content,score
"voucher pengguna baru gabisa di pake padahal masih aktif, pas tinggal pencet co malah muncul tulisan ""Oops, terjadi kendala. Transaksi tidak dapat di proses. (1)"" padahal kalo co ga pake voucher pengguna baru bisa, gimna sih kalo ga niat ngasih voucher pengguna baru, gausah aja sekalian",1
fine,5
aplikasi Tokopedia bagus!! tingkat kan terus promo menarik lainnya harga barang yang murah dan berkualitas serta promo gratis ongkir nya!! sehingga mendukung efisiensi anggaran yang tepat sasaran!! mendukung Indonesia maju!! berjuang tiada akhir !! 🙏🇲🇨❤️,5
ok banget harga harga bersaing,5
Kak kok gak bisa bayar ditempat ya,5
Toped bikin blunder lagi dengan kerja sama dengan grabsend. Sistemnya ga ada foto di bukti pengiriman. Padahal driver grab ga seahli kurir perusahaan ekspedisi. Barang saya hilang dan sistem tokped bingung meresponnya!! Sistem sempat melimpahkan ke seller. Lah seller mah udah ngirim. Ini hilang di perjalanan. Tapi sistemnya kyk gamang. Ini tuh yg bener kejar driver nya. Nganternya ke mana?? Semua ekspedisi lainnya itu ada sistem foto bukti sudah diantar. Ini ga ada.,1
"barang yang udah dimasukin keranjang tiba-tiba hilang. gak bisa cek transaksi berlangsung. kacau aplikasi ini, sering error & UI berubah2 terus setelah update, bikin gak nyaman... makin hari makin sampah...",1
"setelah update aplikasi malah otomatis keluar , gimana ini toped makin susah akses nya.",1
memudahkan bayar pake dana belanja di Tokopedia,5
Tokopedia mantap,5
okok,5
"dasar aplikasi Ini,kalau kasih turun harga mikir donk,saya beli tv box Xiaomi gen 3 dulu harganya 1,2juta ,sekarang malah harganya 800rb,bahkan di aplikasi Oren itu malah ada yang 600rb, ditambah lagi saya pas itu beli paylaytwr 6 bulan pula,jadi hampir1,5 juta,saya rugi hampir 1 juga karena paylater bunga terlalu banyak itu,kayak aplikasi Oren lah, bunga 0% malah,ini apa,sama pengguna lama bukannya di kasih promo,malah di naikin bunga,aduh topet topet,maaf aku berhenti jadi pelanggan topet 😡😡",2
Aplikasi sering error belakangan ini. Kualitas kurir banyak yg memprihatinkan.,2
ok,5
"pengiriman sangat lama poll, sortir aja bisa sampai 2H, emang se rame apa sih aplikasi ini? ramean juga shope, tapi gak se lama ini",1
gaje,1
"gratis ongkirnya mna nih,masak klah sma toko sebelah",3
kerajinan bgt minta update,3
Respon pengaduan pelanggan LAMBAT!,1
Iklan elek,1
kedua kalinya saya kecewa sama toped. pesan pakai instant ga nyampe2 sampe malam. dicancel pun uang ga langsung kembali. nunggu konfirmasi penjual. kalau kek gini pembeli lagi yg dirugikan. padahal saya butuh BRG itu dihari yg sama. mending beli ke toko offline langsung. walau ebih mahal.,1
"tdk da opsi trf manual jdikn tokped hanya tuk orang kota yg signyal stabil, kami di daerah plosok gk bs pakai mobile banking, klo review bintang 2 gk bs mengulas toko n produk, entah bintang 3",3
"Transaksi 1.300.000 lebih barang tidak sampai, liat keterangan di google penanganan investigasi maksimal 7 hari kerja, dan komplainku sudah di investigasi selama 1 bulan lebih 10 hari ngk kunjung di selesaikan, dan belom ada pengembalian dana sampai saat ini,.",1
"Bagus. Lebih baik kagi kakau sering ada promo , diskon atau flashsale.",5
saya kasi 5 bintang karna saya puas dengan aplikasi Tokopedia,5
"lemot banget, buka tab aja lelet",1
1. JANGAN KERJASAMA DENGAN J&T. LELET BANGET KURIRNYA. 2. C.O jam 4 subuh sampai malah penjual masih proses. perbaiki donk.,2
"jangan pernah pakai apk ini guys , komplain 3 hari , di eksekusi juga 3 hari",5
hp saya android 5 kenapa gaj bisa dibuka? apa sudah gak support?,1
uwelll,5
barangnya mahal dan jelek aja pastinya,1
bagus dan mudah d gunakan,5
"PELAYANAN BURUK, TOKOPEDIA CARE TIDAK MEMBANTU DAN HANYA MAKAN GAJI BUTA",1
"Tolong ditindak dan bila perlu dibanned tutup permanent saja para penjual yg ga jelas, review nya bermasalah, jual barang tidak sesuai deskripsi, deskripsi barang yg membingungkan, foto yg dipajang ga sesuai dan harga yg ga masuk akal, di chat ga response dan kalo transaksi status DIPROSES tapi ga ada update status yang jelas akhirnya dibatalkan system demi kenyamanan dan keamanan pembeli. para penjual nya diverifikasi dengan KTP,NPWP wajah dan alamat yg lengkap Biar ada efek jera.",2
"sekarang udah banyak penipuan di tokopedia ,, tak seperti dulu yang bisa di percata",1
n ii.nlij.8nmbn.ibbhh.nbb.b mjmmj. bmnl jlnhnllj.l.jomnmmjmj..ljm.jmjmmjmjm.i h h nn nnn n n n nnnnbnhj hbnjm jmlnlijmmmm mnmmh h h j j jjjjln j lh hh n hmh hh h hhhmn mn hmbh h n,5
ngbug ajg,2
aplikasi bagus,5
toko pedih tetap terbaik,5
good job,5
masih ada seler bodong,4
"percuma banyak promo tapi pengiriman sering terlambat, paket saya yg sudah di estimasikan datang di tanggal 25 malah GK datang datang sampai sekarang",3
"woi ini kenapasih tokped, udah mau chekout milih metode pembayaran, malah layar putih aja yg keluar lemot na ujubilah",1
Tokopedia mantap pengembalian dana mudah,5
"aplikasi melebihi software, berat banget gob**",1
Sangat mengecewakan saya ingin membeli barang secara COD tetapi malah Transaksinya malah ada kendala?!! Sialan apakah kau tau ini hari pertama ku belanja di tokopedia dan kau malah ada kendala transaksi SANGAT MENGECEWAKAN?!,1
good 👍👍👍,5
"Tolong kedepan lebih di perpanjang waktu otomatis pembatalan pesanannya sekitar 1 minggu aja,tanggung 2x24 jam.. Salahnya di penjual,lah ruginya kita nunggu barang ngak di respon penjual,di batalin malah ribet,yg salah siapa coba... mau beli di toko lain juga tidak bisa harus nunggu di setujui sama pihak penjual,lah kalo tidak di setujui dan tidak direspon makin lama nunggu nya,butuh cepat malah jadi lambat.",1
👍👍,5
"JGN MAU BELANJA DI SINI KARNA MENANGAN NYA PERIHAL PENGEMBALIAN BRG SANGAT SANGAT LAMA SEKALI,DAN CUSTOMER SERVICES SANGAT SANGAT TIDAK MENGHARGAI CUSTOMER ALIAS DI CUEKIN,,,,,,,,,,",1
🤣,3
"ok lah, semuanya dilakukan simple dan mudah",5
ngambil uang aja tambah rekening dan gak bisa. Tokopedia gabung sama tiktok bener2 hancur. ini gimana kok bisa gini. mau ambil uangku sendiri aja gak bisa terus. Tokopedia tolong jangan gabung sama tiktok.,1
promo ngk sesuai,1
"Voucher PENGGUNABARU belum di berikan, jgn beralasan suruh pakai voucher lain. Karena semua voucher tidak bisa di pakai",1
saran saja lebih baik tutup tokopedia dari pada phk pekerja. jangan lungkiri tokopedia sudah bangkrut. fokus saja pafa tiktokshop.,5
Mantap cepat sehat dan bergizi,5
"Saya lebih suka belanja dengan pembayaran pakai paylater, jika paylaternya tidak bisa digunakan maka tidak belanja atau belanjanya jarang jarang.",5
"pesanan dibatalkan, saldo refund ditahan gk bisa ditarik,mau tautkan rekening gk bisa, disuruh coba lagi, pengembalian dana aja ribet banget gk kayak shopee gampang hitungan menit dana langsung kembali",1
tokopedia is already dead 👎🏼🤢🤮,1
susah mengkaitkan rekening gagal terus,3
bagus,5
aplikasinya friendly user. fiturnya lengkap. cara deposit juga mudah n cepat. mungkin bisa diperbaiki untuk cek history biar lebih bisa difilter per tgl.,5
baik,5
"Makin parah, mungkin karena sudah diakusisi y? pengiriman makin lambat, pilihan barang makin dikit, gak ada gratis2nya ato potongan ongkir. Silakan pertimbangkan sendiri.",3
"HATI-HATI & pikir 2x kalo belanja melalui tokepd ya kawan. paket sy hilang karna jasa kirim tokped menggunakan pihak yg saling oper gudang.. sudah hampir 3 bulan sejak tengah Juni 2025 lhoo, GAK ADA KEJELASAN. cuman disuruh tunggu investigasi.. sampek event da selesai, paket gue belum nyampek juga.. gue beli di official. Bukankah ada batas waktu 1 bulan, jika paket tidak diterima customer maka otomatis pengembalian dana ke pembeli?!!!",1
uangnya bang di balikin itu 1jt loh di dapat susah payah bukan makan uang rakyat,1
mantap,5
"aplikasi cacat. komplain retur, resi sudah terinput dan sudah update tetapi di halaman komplain masih keterangan ""Menunggu pick-up barang"". endingnya status pesanan berubah jadi pesanan selesai dan barang sudah di seller , saya satu-satunya yang di rugikan.",1
"Hasil penjualan dipotong biaya power merchant. Tidak bisa hapus chat penjual, tapi chat pembeli hilang sendiri semua.",1
scrol foto di Tokopedia susah bener,1
layanan baik🙏,5
pelayanan bagus,5
mantap boss,5
Bagus,5
"Sangat Mudah Untuk Transaksi Dan Berbelanja.Sedikit Saran,Agar Kedepannya Perbanyak Diskon Dan Bebas Ongkir.Seperti Shopee Dan Marketplace Lainnya",5
terima kasih are you terbest toko pedia terima kasih banyak,5
"susah belanja di sini, gratis ongkir gak jelas, ingin tanya ke CS yg jawab robot terus, jelek bgt",1
giman Bos app abis di updat malah gak bisa dibuka,5
proses yang sangat mudah dan cepat,5
mantap...,5
trimakasih layanannya bagus,5
Mantap Tokopedia 9.9 Gas cuk,5
oprasi tahap tingkat lanjut😊,5
Toko pedia terpercaya dan ada gratis onkir..saya rekomendasikan buat beli di Toko pedia...terima kasih Toko pedia,5
Aplikasi yang sangat membantu utk pembelian keluarga saya. Terima kasih Tokopedia.,5
mudah digunakan,5
semoga berguna,4
bauk,5
Ada aja seler nakal jual produk murah tapi aslinya nipu,1
Saya suka tokopedia,5
Bleguud maneh nges dibere5 bintang oge di lenyapken kumaneh geloo,1
mantappp,5
